homenames,home_previous,previous,racsid,service,suburbs,states,post_code,hrefdata
 Aveo Mingarra Aged Care Community 3235,Aveo Retirement Homes Limited,Mingarra Hostel,3235,Residential,Croydon,Victoria,3136,/services/aveo-mingarra-aged-care-community-3235
 Yarrabee 200249,Jali Local Aboriginal Land Council,501 Care Centre501 Respite ,200249,Home services,Ballina,New South Wales,2478,/services/yarrabee-200249
501 Respite and Care Services 5385,Nightbreeze Pty Ltd,A G Eastwood Hostel,5385,Residential,Biggera Waters,Queensland,4216,/services/501-respite-and-care-services-5385
70 Lowe Street  3476,East Grampians Health Service,The Abbey Nursing Home,3476,Residential,Ararat,Victoria,3377,/services/70-lowe-street-3476
A H Orr Lodge 0007,Ashfield Baptist Homes Ltd,RSL War Veterans Home Mandurah,0007,Residential,Ashfield,New South Wales,2131,/services/h-orr-lodge-0007
A. G. Eastwood Hostel 3377,Monash Health,RSL Menora Gardens Aged Care Facility,3377,Residential,Cheltenham,Victoria,3192,/services/g-eastwood-hostel-3377
Abberfield Aged Care Facility  4002,Sandra Pty Ltd,ACDMA Aged Hostel,4002,Residential,Sandringham,Victoria,3191,/services/abberfield-aged-care-facility-4002
Abbey House Aged Care 2610,Thompson Health Care Pty Ltd,Colton Court Nursing Home,2610,Residential,Mittagong,New South Wales,2575,/services/abbey-house-aged-care-2610
Abbeyfield House Hostel 3164,Abbeyfield Society (Mortlake) Inc,Highercombe,3164,Residential,Mortlake,Victoria,3272,/services/abbeyfield-house-hostel-3164
Abel Tasman Village 0356,The Abel Tasman Village Association Ltd,Kapara Nursing Home,0356,Residential,Chester Hill,New South Wales,2162,/services/abel-tasman-village-0356
Abernethy Nursing Home 2787,Northern Coalfields Community Care Association Ltd,Milpara Aged Care Facility,2787,Residential,Cessnock,New South Wales,2325,/services/abernethy-nursing-home-2787
ACH Group Residential Care - Perry Park (high care) 6950,Aged Care & Housing Group Inc,Perry Park Nursing Home,6950,Residential,Port Noarlunga,South Australia,5167,/services/ach-group-residential-care-perry-park-high-care-6950
ACH Group Residential Care - Perry Park (low Care) 6021,Aged Care & Housing Group Inc,Perry Park Hostel,6021,Residential,Port Noarlunga,South Australia,5167,/services/ach-group-residential-care-perry-park-low-care-6021
ACH Group Residential Care - Vita 6308,Aged Care & Housing Group Inc,Vita,6308,Residential,Daw Park,South Australia,5041,/services/ach-group-residential-care-vita-6308
ACH Group Residential Care - West Park 6977,Aged Care & Housing Group Inc,West Park Nursing Home,6977,Residential,Goolwa,South Australia,5214,/services/ach-group-residential-care-west-park-6977
ACH Group Residential Care - Yankalilla Centre 6196,Aged Care & Housing Group Inc,Yankalilla Centre,6196,Residential,Yankalilla,South Australia,5203,/services/ach-group-residential-care-yankalilla-centre-6196
ADA Cottage 0320,RSL LifeCare Limited,ADA'S Cottage,0320,Residential,Kandos,New South Wales,2848,/services/ada-cottage-0320
Adelene Court Hostel 0195,Adelene Retirement Village,Adria Village,0195,Residential,Wyoming,New South Wales,2250,/services/adelene-court-hostel-0195
Adelene Nursing Home 2672,Adelene Retirement Village,AdventCare Bendigo,2672,Residential,Wyoming,New South Wales,2250,/services/adelene-nursing-home-2672
Adria Village Ltd 2908,Adria Village Limited,AdventCare Whitehorse (Hostel),2908,Residential,Stirling,Australian Capital Territory,2611,/services/adria-village-ltd-2908
Advantaged Care at Barden Lodge 0983,Advantaged Care Pty Ltd,Adventists Nursing Home,0983,Residential,Barden Ridge,New South Wales,2234,/services/advantaged-care-barden-lodge-0983
Aegis Alfred Carson 7414,Aegis Aged Care Group Pty Ltd,Alfred Carson Lodge,7414,Residential,Claremont,Western Australia,6010,/services/aegis-alfred-carson-7414
Aegis Amberley 7359,Aegis Aged Care Group Pty Ltd,Amberley Aged Care,7359,Residential,Spearwood,Western Australia,6163,/services/aegis-amberley-7359
Aegis Amherst 7410,Aegis Aged Care Group Pty Ltd,Anchorage Aged Care,7410,Residential,Canning Vale,Western Australia,6155,/services/aegis-amherst-7410
Aegis Anchorage 7298,Aegis Aged Care Group Pty Ltd,Balmoral Aged Care,7298,Residential,Mindarie,Western Australia,6030,/services/aegis-anchorage-7298
